month,mean_shoreline_change,ecan_storm_hours,ecan_max_Hs,ecan_mean_Hs,ecan_mean_dir,model_storm_hours,model_max_Hs,model_mean_Hs,model_mean_dir,erosion_month
2004-11-01,-0.17214033850493637,12.0,2.8,2.6091666666666664,184.8083333333333,9.0,4.68454,4.280132222222223,199.68366666666668,True
2004-12-01,-0.47650631879331445,36.0,2.89,2.613611111111111,151.64999999999998,21.0,5.62757,4.703184285714285,192.8475238095238,True
2005-01-01,2.1138907469342256,10.0,2.87,2.616,139.32,,,,,False
2005-02-01,1.8536559356136821,17.0,2.79,2.5752941176470587,138.24705882352941,,,,,False
2005-03-01,1.7664600167177489,12.0,2.85,2.6216666666666666,128.42499999999998,,,,,False
2005-04-01,-0.875692586399109,48.0,2.86,2.583125,174.9020833333333,8.0,4.97162,4.6981375,202.13525,True
2005-05-01,-1.67276207302709,18.0,2.88,2.628888888888889,183.36666666666667,,,,,True
2005-06-01,-0.08694666240817622,35.0,2.99,2.6105714285714288,154.42285714285714,14.0,5.5983,4.626590714285714,204.13128571428572,True
2005-07-01,-0.9820309308433035,26.0,3.13,2.6015384615384614,169.4923076923077,10.0,5.50711,4.573363,121.14245000000001,True
2005-08-01,-1.5520403225806454,31.0,2.83,2.6093548387096774,98.44193548387096,,,,,True
2005-09-01,-2.966056444310292,16.0,2.81,2.6325,161.20625,9.0,5.07774,4.499651111111111,194.85766666666666,True
2005-10-01,-1.8119065550906557,37.0,2.74,2.575945945945946,179.83243243243243,6.0,5.27625,5.046776666666667,205.258,True
2005-11-01,0.5667292983039575,30.0,2.99,2.6086666666666667,182.29666666666665,,,,,False
2005-12-01,1.6803029336734694,5.0,2.64,2.5759999999999996,185.74,3.0,4.32373,4.283563333333333,205.60433333333333,False
2006-01-01,0.6992867113344499,27.0,3.06,2.6355555555555554,108.17407407407407,1.0,4.08659,4.08659,224.124,False
2006-02-01,-0.1643006408470327,31.0,3.89,2.6883870967741936,136.00322580645164,,,,,True
2006-03-01,1.603759147311486,23.0,2.81,2.582173913043478,160.7130434782609,13.0,6.34102,5.1574184615384615,199.68715384615385,False
2006-04-01,1.8539461400359065,32.0,2.71,2.5725,117.303125,,,,,False
2006-05-01,-0.7261588161734053,34.0,2.83,2.5808823529411766,149.53823529411764,3.0,4.28924,4.185243333333333,195.6436666666667,True
2006-06-01,-0.47262898223851174,42.0,2.82,2.6107142857142858,163.29285714285714,11.0,5.44233,4.806855454545455,199.12981818181817,True
2006-07-01,-1.624629264166901,19.0,2.81,2.6178947368421053,127.93157894736841,17.0,5.75735,4.905531176470588,172.3435882352941,True
2006-08-01,-0.5046143085531578,18.0,2.91,2.648888888888889,174.22777777777776,5.0,4.57824,4.33952,181.9578,True
2006-09-01,-0.25173634336677797,23.0,2.79,2.591304347826087,212.0173913043478,,,,,True
2006-10-01,-0.43971293199554107,56.0,3.06,2.6019642857142857,153.60892857142858,5.0,6.12674,4.943828,207.2694,True
2006-11-01,1.632125940373363,21.0,2.73,2.559047619047619,144.75714285714287,,,,,False
2006-12-01,0.5658263358778626,16.0,2.89,2.641875,194.33125,16.0,5.06983,4.5223949999999995,187.644,False
2007-01-01,2.2320256338813036,13.0,2.75,2.56,108.49230769230768,,,,,False
2007-02-01,0.1481457716354072,25.0,2.79,2.6004,170.14,,,,,False
2007-03-01,-0.2609182049649898,17.0,3.11,2.6429411764705883,183.81764705882352,,,,,True
2007-04-01,0.6099426751592348,33.0,2.79,2.56969696969697,188.4969696969697,14.0,6.3072,5.128153571428571,200.71235714285714,False
2007-05-01,-1.8190206812652068,25.0,3.03,2.6384,186.34799999999998,5.0,4.40317,4.196484,199.5874,True
2007-06-01,0.04564056297365553,26.0,3.02,2.6384615384615384,136.18076923076922,44.0,6.63343,5.336934545454546,197.55937045454547,False
2007-07-01,0.6441863738738739,20.0,2.76,2.609,159.33999999999997,4.0,4.80596,4.51394,98.28932499999999,False
2007-08-01,0.017712854757930833,27.0,2.7,2.568888888888889,125.88148148148149,2.0,4.15012,4.077775,198.5695,False
2007-09-01,-1.8398142458100561,23.0,2.8,2.608260869565217,189.58695652173913,,,,,True
2007-10-01,-2.3229205020920514,42.0,3.12,2.6323809523809523,170.38333333333335,15.0,4.98612,4.3775173333333335,202.70453333333336,True
2007-11-01,-0.8314712153518113,14.0,2.89,2.6292857142857144,198.97142857142856,2.0,4.16226,4.12324,195.49849999999998,True
2007-12-01,0.9914406540738655,14.0,2.85,2.5778571428571424,143.22857142857143,,,,,False
2008-01-01,0.6048439241917505,30.0,2.91,2.6003333333333334,132.66666666666666,1.0,4.22954,4.22954,196.393,False
2008-02-01,-0.2240630228667041,20.0,2.68,2.5614999999999997,106.335,9.0,4.62477,4.246865555555555,137.2642111111111,True
2008-03-01,-0.16273221757322157,18.0,2.82,2.626666666666667,181.50555555555556,,,,,True
2008-04-01,1.161291959406713,25.0,2.82,2.6180000000000003,150.28,8.0,4.73879,4.31257,178.6532375,False
2008-05-01,-0.31381329113924045,26.0,2.84,2.589230769230769,90.3153846153846,4.0,4.7302,4.51783,193.1225,True
2008-06-01,-0.6087348242811498,41.0,2.9,2.6129268292682926,182.6341463414634,22.0,6.21489,4.613615454545454,181.73769545454545,True
