month,whacs_storm_count,whacs_max_peak_Hs,whacs_mean_peak_Hs,whacs_mean_dir,whacs_storm_hours,month_str
2003-11-01,1728715,6.048,1.7290029178674782,176.70094660075026,114954,2003-01-11
2003-12-01,1786339,5.316,1.5764913955320727,161.27779778457545,65535,2003-01-12
2004-01-01,1786339,5.414,1.4140854027623286,114.75094456803856,50339,2004-01-01
2004-02-01,1671091,10.49,2.071855558858502,158.43288879805786,202978,2004-01-02
2004-03-01,1786344,6.398,1.9129342208935856,168.12767785965886,188497,2004-01-03
2004-04-01,1728715,6.538,1.7314733828626847,166.1319502631122,104291,2004-01-04
2004-05-01,1786344,5.962,1.806839481368187,138.6736316972562,102706,2004-01-05
2004-06-01,1728715,7.276,1.9027885799124755,156.69002113278935,164498,2004-01-06
2004-07-01,1786344,7.174,1.895849360400445,154.4617558861698,163639,2004-01-07
2004-08-01,1786339,7.646,2.4027033578976638,145.87946398776418,369201,2004-01-08
2004-09-01,1728720,7.156,1.9787446791187742,153.42127155172415,183604,2004-01-09
2004-10-01,1786339,5.638,1.720815088524286,168.26892368835743,135871,2004-01-10
2004-11-01,1728720,5.656,1.7934520522030653,134.9931415229885,128430,2004-01-11
2004-12-01,1786339,5.888,2.030649489302288,162.3297103825453,202255,2004-01-12
2005-01-01,1786339,4.862,1.3123041753810678,146.74676438383148,26941,2005-01-01
2005-02-01,1613467,4.482,1.5162452457922824,123.37144550492611,40894,2005-01-02
2005-03-01,1786339,4.26,1.668884242238148,147.83370778705384,97466,2005-01-03
2005-04-01,1728715,6.122,2.0761692935823755,170.74853568007663,210433,2005-01-04
2005-05-01,1786334,5.176,1.56488500929858,153.39101172026628,66666,2005-01-05
2005-06-01,1728720,7.356,2.136071889367816,156.79078017241378,258491,2005-01-06
2005-07-01,1786334,6.648,1.8357833424098815,153.1614500075316,199173,2005-01-07
2005-08-01,1786339,4.576,1.6767647792212608,131.39242430211485,100269,2005-01-08
2005-09-01,1728720,5.798,1.6219408069923373,141.55161793582374,121243,2005-01-09
2005-10-01,1786339,5.928,1.5231941740823136,155.49040600667408,57848,2005-01-10
2005-11-01,1728720,4.256,1.6900968678160921,166.42034985632182,79847,2005-01-11
2005-12-01,1786339,5.67,1.2670684618816155,129.47534051342066,28321,2005-01-12
2006-01-01,1786344,5.512,1.731301302373007,153.8953485354097,104885,2006-01-01
2006-02-01,1613467,4.704,1.8029814358928309,140.08428022552485,110889,2006-01-02
2006-03-01,1786344,6.606,1.9175019697812383,157.49488992398963,146620,2006-01-03
2006-04-01,1728715,5.6,1.6001052250957855,113.35404968869732,107605,2006-01-04
2006-05-01,1786344,5.726,1.7319869670003707,143.48185738783835,78309,2006-01-05
2006-06-01,1728715,6.088,2.085981697796935,169.48139810823753,242771,2006-01-06
2006-07-01,1786339,6.64,2.208843715492419,149.67501654046475,285813,2006-01-07
2006-08-01,1786339,5.752,1.7309201354288812,170.40767465088362,160250,2006-01-08
2006-09-01,1728715,5.232,1.6971238118044287,161.1728563988051,150732,2006-01-09
2006-10-01,1786339,7.138,2.0954081433073783,167.59572626992954,259552,2006-01-10
2006-11-01,1728715,5.366,1.7167142744252875,171.3319852729885,117105,2006-01-11
2006-12-01,1786339,5.952,1.7636440837041156,153.71093935391175,121231,2006-01-12
2007-01-01,1786339,3.394,1.3912214007047206,144.19808038357567,12665,2007-01-01
2007-02-01,1613472,4.528,1.6492186242816091,152.8642317066913,93649,2007-01-02
2007-03-01,1786339,7.706,1.6321258280371016,155.94576465612636,90091,2007-01-03
2007-04-01,1728720,7.094,1.9335981585249042,174.2477684386973,171122,2007-01-04
2007-05-01,1786339,6.744,1.767161938971189,154.13696593996767,137780,2007-01-05
2007-06-01,1728720,8.116,2.3608533381226056,155.95963194444442,256118,2007-01-06
2007-07-01,1786339,4.976,1.7109829718205414,153.20509014645904,100437,2007-01-07
2007-08-01,1786344,5.618,1.802757957916203,155.5373356970708,136574,2007-01-08
2007-09-01,1728715,4.58,1.6355867087804328,146.65022796989456,72809,2007-01-09
2007-10-01,1786344,6.26,1.9548762745643307,172.1394291110493,199799,2007-01-10
2007-11-01,1728715,5.456,1.540968145163704,157.83715886709092,89984,2007-01-11
2007-12-01,1786339,3.642,1.4837234712381306,129.50382151361185,21430,2007-01-12
2008-01-01,1786339,5.862,1.685473683722655,134.7838072395254,79538,2008-01-01
2008-02-01,1671091,6.398,1.9525483684376763,135.35352341906597,161353,2008-01-02
2008-03-01,1786339,5.434,1.7084030334631073,151.14356681034482,91254,2008-01-03
2008-04-01,1728715,7.41,1.9792280748807165,145.67647028538244,198432,2008-01-04
2008-05-01,1786339,5.658,1.85554402755843,140.42702346012175,134738,2008-01-05
2008-06-01,1728715,7.774,2.119535386262163,168.57127132880026,249232,2008-01-06
2008-07-01,1786339,7.386,2.273498781053022,135.10141963292548,264877,2008-01-07
2008-08-01,1786339,5.434,2.0211620666481274,149.61348674453095,193589,2008-01-08
2008-09-01,1728720,4.906,1.6553074377394636,129.31108488984674,74198,2008-01-09
2008-10-01,1786339,5.108,1.7405293196143863,176.7448779894327,113684,2008-01-10
2008-11-01,1728715,6.724,1.821704184052826,132.4438234184831,142997,2008-01-11
2008-12-01,1786344,4.548,1.5189011471078977,116.59242989896181,51676,2008-01-12
2009-01-01,1786339,4.394,1.5189241448832036,121.7313613505747,36026,2009-01-01
2009-02-01,1613472,5.674,1.8214927750410508,166.40381914511494,105614,2009-01-02
2009-03-01,1786339,6.6,1.9151411962365592,143.52499965239156,184944,2009-01-03
2009-04-01,1728720,4.474,1.8416760225095785,131.92771467911876,142683,2009-01-04
2009-05-01,1786339,7.824,2.4612424198183165,143.98601015016686,331204,2009-01-05
2009-06-01,1728715,6.052,2.5621770412897584,150.83441890815917,428740,2009-01-06
2009-07-01,1786339,7.418,1.9986464318985533,153.02456085261798,183802,2009-01-07
2009-08-01,1786339,5.852,1.5439977915148286,121.08565423186776,67152,2009-01-08
2009-09-01,1728715,5.208,1.5763422126436781,140.18280256226055,82061,2009-01-09
2009-10-01,1786339,5.968,1.9881700848164627,166.48799198183167,230413,2009-01-10
2009-11-01,1728715,5.982,2.0023602155172413,180.83494324712643,205364,2009-01-11
2009-12-01,1786339,6.916,1.5032361236798044,150.21785848777859,68003,2009-01-12
2010-01-01,1786344,4.402,1.6796154917500927,137.50812465239156,106959,2010-01-01
2010-02-01,1613467,4.384,1.532201384194018,150.88761037311662,39476,2010-01-02
2010-03-01,1786344,6.042,2.0410456039117535,157.2398971078977,202689,2010-01-03
2010-04-01,1728715,5.466,1.7829629430076628,141.32744312739464,128862,2010-01-04
2010-05-01,1786344,6.594,1.9568261030774934,126.98431810808306,190280,2010-01-05
2010-06-01,1728715,5.8,1.9918182327586207,145.3294185823755,185290,2010-01-06
2010-07-01,1786344,4.854,1.9258362787356322,154.32475041713013,160666,2010-01-07
2010-08-01,1786339,5.978,1.8430123645043364,140.17549577942958,166021,2010-01-08
2010-09-01,1728720,7.436,2.000774820402299,160.99084518678163,211348,2010-01-09
2010-10-01,1786339,6.054,1.7093827771598074,151.64000162217278,107199,2010-01-10
2010-11-01,1728720,5.828,1.545454379789272,145.2061855842912,67444,2010-01-11
2010-12-01,1786339,5.398,1.7058984612532444,141.69097492584353,119116,2010-01-12
2011-01-01,1786339,5.3,1.903093985759558,143.66651062819005,180411,2011-01-01
2011-02-01,1613467,4.43,1.62555067477422,140.8165347906404,40391,2011-01-02
2011-03-01,1786339,5.474,1.8833600166853024,149.28765948078583,174026,2011-01-03
2011-04-01,1728715,6.966,2.2331274489731165,159.7421872923394,242490,2011-01-04
2011-05-01,1786339,6.34,1.9856361681320363,130.05626625077053,198546,2011-01-05
2011-06-01,1728715,6.318,1.9758422916666667,147.32430795019158,198699,2011-01-06
2011-07-01,1786339,7.812,2.246199091583241,176.44154732109752,309488,2011-01-07
2011-08-01,1786344,6.456,2.115134149054505,169.4762350528365,249783,2011-01-08
2011-09-01,1728715,6.776,1.9727408449523764,158.13787498727842,209630,2011-01-09
