month,mean_shoreline_change,ecan_storm_hours,ecan_max_Hs,ecan_mean_Hs,ecan_mean_dir,model_storm_hours,model_max_Hs,model_mean_Hs,model_mean_dir,erosion_month,storm_type,whacs_max_peak_Hs,whacs_mean_peak_Hs,whacs_mean_dir,whacs_storm_hours,whacs_storm_count
2005-01-03,1.7664600167177489,12.0,2.85,2.6216666666666666,128.42499999999998,,,,,False,0,4.26,1.668884242238148,147.83370778705384,97466.0,1786339.0
2005-01-04,-0.875692586399109,48.0,2.86,2.583125,174.9020833333333,8.0,4.97162,4.6981375,202.13525,True,1,6.122,2.0761692935823755,170.74853568007663,210433.0,1728715.0
2005-01-05,-1.67276207302709,18.0,2.88,2.628888888888889,183.36666666666667,,,,,True,1,5.176,1.56488500929858,153.39101172026628,66666.0,1786334.0
2005-01-06,-0.0869466624081762,35.0,2.99,2.6105714285714288,154.42285714285714,14.0,5.5983,4.626590714285714,204.13128571428567,True,1,7.356,2.136071889367816,156.79078017241378,258491.0,1728720.0
2005-01-07,-0.9820309308433036,26.0,3.13,2.601538461538462,169.4923076923077,10.0,5.50711,4.573363,121.14245,True,1,6.648,1.8357833424098815,153.1614500075316,199173.0,1786334.0
2005-01-08,-1.5520403225806454,31.0,2.83,2.609354838709677,98.44193548387096,,,,,True,0,4.576,1.6767647792212608,131.39242430211485,100269.0,1786339.0
2005-01-09,-2.966056444310292,16.0,2.81,2.6325,161.20625,9.0,5.07774,4.499651111111111,194.85766666666663,True,1,5.798,1.6219408069923371,141.55161793582374,121243.0,1728720.0
2005-01-10,-1.811906555090656,37.0,2.74,2.575945945945946,179.83243243243243,6.0,5.27625,5.046776666666667,205.258,True,1,5.928,1.5231941740823136,155.49040600667408,57848.0,1786339.0
2005-01-11,0.5667292983039575,30.0,2.99,2.6086666666666667,182.29666666666665,,,,,False,1,4.256,1.690096867816092,166.42034985632182,79847.0,1728720.0
2005-01-12,1.6803029336734694,5.0,2.64,2.576,185.74,3.0,4.32373,4.283563333333333,205.60433333333333,False,1,5.67,1.2670684618816157,129.47534051342066,28321.0,1786339.0
2006-01-01,0.6992867113344499,27.0,3.06,2.635555555555555,108.17407407407408,1.0,4.08659,4.08659,224.124,False,0,5.512,1.731301302373007,153.8953485354097,104885.0,1786344.0
2006-01-02,-0.1643006408470327,31.0,3.89,2.6883870967741936,136.00322580645164,,,,,True,2,4.704,1.8029814358928309,140.08428022552485,110889.0,1613467.0
2006-01-03,1.603759147311486,23.0,2.81,2.582173913043478,160.7130434782609,13.0,6.34102,5.1574184615384615,199.68715384615385,False,1,6.606,1.9175019697812383,157.49488992398963,146620.0,1786344.0
2006-01-04,1.8539461400359063,32.0,2.71,2.5725,117.303125,,,,,False,0,5.6,1.6001052250957857,113.35404968869732,107605.0,1728715.0
2006-01-05,-0.7261588161734053,34.0,2.83,2.5808823529411766,149.53823529411764,3.0,4.28924,4.185243333333333,195.6436666666667,True,1,5.726,1.7319869670003707,143.48185738783835,78309.0,1786344.0
2006-01-06,-0.4726289822385117,42.0,2.82,2.6107142857142858,163.29285714285714,11.0,5.44233,4.806855454545455,199.12981818181817,True,1,6.088,2.085981697796935,169.48139810823753,242771.0,1728715.0
2006-01-07,-1.624629264166901,19.0,2.81,2.6178947368421053,127.9315789473684,17.0,5.75735,4.905531176470588,172.3435882352941,True,0,6.64,2.208843715492419,149.67501654046475,285813.0,1786339.0
2006-01-08,-0.5046143085531578,18.0,2.91,2.648888888888889,174.22777777777776,5.0,4.57824,4.33952,181.9578,True,1,5.752,1.7309201354288812,170.40767465088362,160250.0,1786339.0
