month,ecan_storm_hours,ecan_max_Hs,ecan_mean_Hs,ecan_mean_dir
2004-09-01,16,2.97,2.640625,125.865625
2004-10-01,16,2.97,2.66875,194.686875
2004-11-01,12,2.8,2.6091666666666664,184.8083333333333
2004-12-01,36,2.89,2.613611111111111,151.64999999999998
2005-01-01,10,2.87,2.616,139.32
2005-02-01,17,2.79,2.5752941176470587,138.24705882352941
2005-03-01,12,2.85,2.6216666666666666,128.42499999999998
2005-04-01,48,2.86,2.583125,174.9020833333333
2005-05-01,18,2.88,2.628888888888889,183.36666666666667
2005-06-01,35,2.99,2.6105714285714288,154.42285714285714
2005-07-01,26,3.13,2.6015384615384614,169.4923076923077
2005-08-01,31,2.83,2.6093548387096774,98.44193548387096
2005-09-01,16,2.81,2.6325,161.20625
2005-10-01,37,2.74,2.575945945945946,179.83243243243243
2005-11-01,30,2.99,2.6086666666666667,182.29666666666665
2005-12-01,5,2.64,2.5759999999999996,185.74
2006-01-01,27,3.06,2.6355555555555554,108.17407407407407
2006-02-01,31,3.89,2.6883870967741936,136.00322580645164
2006-03-01,23,2.81,2.582173913043478,160.7130434782609
2006-04-01,32,2.71,2.5725,117.303125
2006-05-01,34,2.83,2.5808823529411766,149.53823529411764
2006-06-01,42,2.82,2.6107142857142858,163.29285714285714
2006-07-01,19,2.81,2.6178947368421053,127.93157894736841
2006-08-01,18,2.91,2.648888888888889,174.22777777777776
2006-09-01,23,2.79,2.591304347826087,212.0173913043478
2006-10-01,56,3.06,2.6019642857142857,153.60892857142858
2006-11-01,21,2.73,2.559047619047619,144.75714285714287
2006-12-01,16,2.89,2.641875,194.33125
2007-01-01,13,2.75,2.56,108.49230769230768
2007-02-01,25,2.79,2.6004,170.14
2007-03-01,17,3.11,2.6429411764705883,183.81764705882352
2007-04-01,33,2.79,2.56969696969697,188.4969696969697
2007-05-01,25,3.03,2.6384,186.34799999999998
2007-06-01,26,3.02,2.6384615384615384,136.18076923076922
2007-07-01,20,2.76,2.609,159.33999999999997
2007-08-01,27,2.7,2.568888888888889,125.88148148148149
2007-09-01,23,2.8,2.608260869565217,189.58695652173913
2007-10-01,42,3.12,2.6323809523809523,170.38333333333335
2007-11-01,14,2.89,2.6292857142857144,198.97142857142856
2007-12-01,14,2.85,2.5778571428571424,143.22857142857143
2008-01-01,30,2.91,2.6003333333333334,132.66666666666666
2008-02-01,20,2.68,2.5614999999999997,106.335
2008-03-01,18,2.82,2.626666666666667,181.50555555555556
2008-04-01,25,2.82,2.6180000000000003,150.28
2008-05-01,26,2.84,2.589230769230769,90.3153846153846
2008-06-01,41,2.9,2.6129268292682926,182.6341463414634
2008-07-01,37,2.79,2.5835135135135134,128.2135135135135
2008-08-01,48,2.86,2.574375,156.27291666666667
2008-09-01,11,2.9,2.6281818181818184,136.25454545454545
2008-10-01,35,2.82,2.6077142857142857,192.43714285714287
2008-11-01,44,2.75,2.587727272727273,154.26590909090908
2008-12-01,19,2.81,2.5742105263157895,95.2
2009-01-01,31,2.9,2.5900000000000003,123.61935483870967
2009-02-01,24,2.77,2.5908333333333333,167.84166666666667
2009-03-01,18,2.8,2.63,143.45
2009-04-01,28,2.91,2.632142857142857,134.89285714285714
2009-05-01,26,2.81,2.601153846153846,153.37307692307692
2009-06-01,47,2.89,2.617021276595745,145.44255319148937
2009-07-01,46,3.0,2.6165217391304347,140.16739130434783
2009-08-01,21,2.87,2.587142857142857,74.83333333333333
2009-09-01,19,2.87,2.5984210526315787,143.3842105263158
2009-10-01,38,2.93,2.6315789473684212,174.66842105263157
