start_time,end_time,duration_hours,peak_Hs,mean_direction,storm_type,storm_type_name
2001-03-06 21:00:00,2001-03-07 16:00:00,19.0,2.862,163.52378879310345,0,Moderate Short-Duration
2001-03-08 08:00:00,2001-03-10 08:00:00,48.0,3.336,181.6247361013371,0,Moderate Short-Duration
2001-03-13 02:00:00,2001-03-13 16:00:00,14.0,2.95,82.0252816091954,1,Short-Lived Directional
2001-03-14 01:00:00,2001-03-16 17:00:00,64.0,3.638,174.96859814323608,0,Moderate Short-Duration
2001-03-23 20:00:00,2001-03-24 16:00:00,20.0,2.734,101.69425697865351,1,Short-Lived Directional
2001-03-26 07:00:00,2001-03-27 06:00:00,23.0,3.368,64.7471731321839,1,Short-Lived Directional
2001-03-27 22:00:00,2001-03-31 11:00:00,85.0,5.864,217.5667030874098,2,Severe Long-Duration
2001-04-01 19:00:00,2001-04-15 13:00:00,330.0,8.486,165.70740129180123,2,Severe Long-Duration
2001-04-16 05:00:00,2001-04-16 22:00:00,17.0,2.714,172.93280172413793,0,Moderate Short-Duration
2001-04-21 04:00:00,2001-04-25 19:00:00,111.0,3.412,183.52029017857143,0,Moderate Short-Duration
2001-05-03 08:00:00,2001-05-03 19:00:00,11.0,2.732,102.17568247126438,1,Short-Lived Directional
2001-05-05 06:00:00,2001-05-06 09:00:00,27.0,3.036,77.70692426108374,1,Short-Lived Directional
2001-05-10 17:00:00,2001-05-12 05:00:00,36.0,3.442,74.00931267474371,1,Short-Lived Directional
2001-05-13 17:00:00,2001-05-16 08:00:00,63.0,5.784,156.89798895474138,2,Severe Long-Duration
2001-05-18 21:00:00,2001-05-28 23:00:00,242.0,6.062,195.11360508017592,2,Severe Long-Duration
2001-05-29 17:00:00,2001-05-30 05:00:00,12.0,2.606,155.60800397877983,0,Moderate Short-Duration
2001-06-01 01:00:00,2001-06-04 04:00:00,75.0,3.996,184.033083030853,0,Moderate Short-Duration
2001-06-07 08:00:00,2001-06-12 22:00:00,134.0,4.89,188.04987803320563,2,Severe Long-Duration
2001-06-13 02:00:00,2001-06-13 09:00:00,7.0,2.808,176.02382543103448,0,Moderate Short-Duration
2001-06-13 12:00:00,2001-06-14 19:00:00,31.0,2.8,114.11547952586209,1,Short-Lived Directional
2001-06-17 08:00:00,2001-06-19 18:00:00,58.0,3.668,173.375520163647,0,Moderate Short-Duration
2001-06-20 08:00:00,2001-06-20 18:00:00,10.0,2.718,188.0333228840125,0,Moderate Short-Duration
2001-06-22 01:00:00,2001-06-22 18:00:00,17.0,3.072,94.59679118773948,1,Short-Lived Directional
2001-06-23 06:00:00,2001-07-02 08:00:00,218.0,5.516,166.99530074004093,2,Severe Long-Duration
2001-07-09 00:00:00,2001-07-23 05:00:00,341.0,5.99,156.5955197620488,2,Severe Long-Duration
2001-07-23 23:00:00,2001-08-04 10:00:00,275.0,5.45,188.04625062468764,2,Severe Long-Duration
2001-08-06 03:00:00,2001-08-06 17:00:00,14.0,2.824,190.94560919540228,0,Moderate Short-Duration
2001-08-07 00:00:00,2001-08-07 23:00:00,23.0,3.14,121.52233117816093,1,Short-Lived Directional
2001-08-10 07:00:00,2001-08-10 20:00:00,13.0,3.338,80.87133620689656,1,Short-Lived Directional
2001-08-11 01:00:00,2001-08-12 13:00:00,36.0,3.316,150.37388397017708,0,Moderate Short-Duration
2001-08-13 04:00:00,2001-08-13 04:00:00,0.0,2.502,113.29724137931034,1,Short-Lived Directional
2001-08-13 09:00:00,2001-08-26 03:00:00,306.0,6.016,102.9945493092216,2,Severe Long-Duration
2001-08-27 00:00:00,2001-08-27 13:00:00,13.0,2.666,153.39866379310345,0,Moderate Short-Duration
2001-09-04 01:00:00,2001-09-06 04:00:00,51.0,3.51,83.25905338196286,1,Short-Lived Directional
2001-09-14 12:00:00,2001-09-15 17:00:00,29.0,3.054,89.95092528735631,1,Short-Lived Directional
2001-09-16 00:00:00,2001-09-16 01:00:00,1.0,2.51,110.8234051724138,1,Short-Lived Directional
2001-09-17 01:00:00,2001-09-24 19:00:00,186.0,5.66,185.2883242670109,2,Severe Long-Duration
2001-09-26 04:00:00,2001-09-26 07:00:00,3.0,2.584,112.6118103448276,1,Short-Lived Directional
2001-09-29 03:00:00,2001-10-02 02:00:00,71.0,3.456,187.18760177203063,0,Moderate Short-Duration
2001-10-05 14:00:00,2001-10-06 12:00:00,22.0,3.484,55.17930284857571,1,Short-Lived Directional
2001-10-07 00:00:00,2001-10-07 04:00:00,4.0,2.72,129.35412068965516,1,Short-Lived Directional
2001-10-07 08:00:00,2001-10-07 17:00:00,9.0,2.54,155.0659051724138,0,Moderate Short-Duration
2001-10-08 14:00:00,2001-10-09 16:00:00,26.0,3.062,124.96450830140483,1,Short-Lived Directional
